Duration,Pulse,Maxpulse,Calories,Date
60,110,130,409.1,12/31/23 10:40 AM
60,117,145,479,1/1/2024
60,103,135,340,12/31/23 10:40 AM
45,109,175,282.4,1/1/24 10:40 AM
45,117,148,406,1/2/24 10:40 AM
60,102,127,300,1/3/24 10:40 AM
60,110,136,374,1/4/24 10:40 AM
45,104,134,253.3,1/5/24 10:40 AM
30,109,133,195.1,1/6/24 10:40 AM
60,98,124,269,1/7/24 10:40 AM
60,103,147,329.3,1/8/24 10:40 AM
60,100,120,250.7,1/9/24 10:40 AM
60,106,128,345.3,1/10/24 10:40 AM
60,104,132,379.3,1/11/24 10:40 AM
60,98,123,275,1/12/24 10:40 AM
60,98,120,215.2,1/13/24 10:40 AM
60,100,120,300,1/14/24 10:40 AM
45,90,112,,1/15/24 10:40 AM
60,103,123,323,1/16/24 10:40 AM
45,97,125,243,1/17/24 10:40 AM
60,108,131,364.2,1/18/24 10:40 AM
45,100,119,282,1/19/24 10:40 AM
60,130,101,300,1/20/24 10:40 AM
45,105,132,246,1/21/24 10:40 AM
60,102,126,334.5,1/22/24 10:40 AM
60,100,120,250,1/23/24 10:40 AM
60,92,118,241,1/24/24 10:40 AM
60,103,132,,1/25/24 10:40 AM
60,100,132,280,1/26/24 10:40 AM
60,102,129,380.3,1/27/24 10:40 AM
60,92,115,243,1/28/24 10:40 AM
45,90,112,180.1,1/29/24 10:40 AM
60,101,124,299,1/30/24 10:40 AM
60,93,113,223,1/31/24 10:40 AM
60,107,136,361,2/1/24 10:40 AM
60,114,140,415,2/2/24 10:40 AM
60,102,127,300,2/3/24 10:40 AM
60,100,120,300,2/4/24 10:40 AM
60,100,120,300,2/5/24 10:40 AM
45,104,129,266,2/6/24 10:40 AM
45,90,112,180.1,2/7/24 10:40 AM
60,98,126,286,2/8/24 10:40 AM
60,100,122,329.4,2/9/24 10:40 AM
60,111,138,400,2/10/24 10:40 AM
60,111,131,397,2/11/24 10:40 AM
60,99,119,273,2/12/24 10:40 AM
60,109,153,387.6,2/13/24 10:40 AM
45,111,136,300,2/14/24 10:40 AM
45,108,129,298,2/15/24 10:40 AM
60,111,139,397.6,2/16/24 10:40 AM
60,107,136,380.2,2/17/24 10:40 AM
80,123,146,643.1,2/18/24 10:40 AM
60,106,130,263,2/19/24 10:40 AM
